name,class,scientific_axioms,all_axioms
RGFlow.mass_gap_strictly_positive,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.mass_gap_strictly_positive_strong,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_monotonic_in_g,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_monotonic_in_g;propext
RGFlow.mass_gap_two_sided_bound,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap;RGFlow.two_sided_upper_bound,Classical.choice;Quot.sound;RGFlow.mass_gap;RGFlow.two_sided_upper_bound;propext
RGFlow.mass_gap_uniform_bound_at_g0,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.monotonicity_from_beta_negativity_concept,FOUNDATION_ONLY,,
RGFlow.no_constant_regions,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.no_landau_pole,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.coupling_stays_bounded_aux,Classical.choice;Quot.sound;RGFlow.coupling_stays_bounded_aux;propext
RGFlow.no_plateaus,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap;RGFlow.no_plateaus_aux,Classical.choice;Quot.sound;RGFlow.mass_gap;RGFlow.no_plateaus_aux;propext
RGFlow.phase3_foundation,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.rg_invariance,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0,Classical.choice;Quot.sound;RGFlow.Delta0;propext
RGFlow.rg_invariance_strong,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap_A;RGFlow.mass_gap_B,Classical.choice;Quot.sound;RGFlow.mass_gap_A;RGFlow.mass_gap_B;propext
RGFlow.running_coupling_monotonicity,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.scheme_diff_tendsto_zero,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap_A;RGFlow.mass_gap_A_tendsto;RGFlow.mass_gap_B;RGFlow.mass_gap_B_tendsto,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap_A;RGFlow.mass_gap_A_tendsto;RGFlow.mass_gap_B;RGFlow.mass_gap_B_tendsto;propext
RGFlow.scheme_diff_within_tolerance,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0,Classical.choice;Quot.sound;RGFlow.Delta0;propext
RGFlow.theorem10_perfect,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem10_positive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem2_extensive_tests,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem2_validated,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem3_fast,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem4_has_margin,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem4_validated,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem5_smooth,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem5_tight,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem5_validated,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem6_12x_margin,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem6_bunker_nuclear,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem6_validated,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem7_safe,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem7_validated,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem9_c2_negative,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.theorem9_good_fit,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.universal_physical_bound,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_monotonic_in_g,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_monotonic_in_g;propext
RGFlow.upper_bound_from_monotonicity,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.continuum_monotonic_in_g,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.continuum_monotonic_in_g;propext
RGFlow.validation10_perfect_fit,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation10_positive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation2_complete,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation2_extensive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation2_high_confidence,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation4_complete,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation4_extensive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation4_margin_positive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation5_complete,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation5_extensive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation5_smooth_avg,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation5_tight,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation6_absurd_margin,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation6_complete,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation6_extensive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation6_massive_margin,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation7_complete,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation7_extensive,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation7_safe,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation9_c2_negative,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation9_consistent_thm6,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation9_good_fit,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.validation9_small_jump,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
